00544,Phù Đổng,2,018
00547,Trung Mầu,2,018
00550,Lệ Chi,2,018
00553,Cổ Bi,2,018
00556,Đặng Xá,2,018
00559,Phú Thị,2,018
00562,Kim Sơn,2,018
00565,Trâu Quỳ,3,018
00568,Dương Quang,2,018
00571,Dương Xá,2,018
00574,Đông Dư,2,018
00577,Đa Tốn,2,018
00580,Kiêu Kỵ,2,018
00583,Bát Tràng,2,018
00586,Kim Lan,2,018
00589,Văn Đức,2,018
00592,Cầu Diễn,1,019
00622,Xuân Phương,1,019
00623,Phương Canh,1,019
00625,Mỹ Đình 1,1,019
00626,Mỹ Đình 2,1,019
00628,Tây Mỗ,1,019
00631,Mễ Trì,1,019
00632,Phúc Diễn,1,021
00634,Phúc Diễn,1,021
00637,Phúc Diễn,1,021
00640,Phúc Diễn,1,021
00643,Phúc Diễn,1,021
00646,Phúc Diễn,1,021
00649,Phúc Diễn,1,021
00652,Phúc Diễn,1,021
00655,Phúc Diễn,1,021
00658,Phúc Diễn,1,021
00661,Phúc Diễn,1,021
00664,Phúc Diễn,1,021
00667,Phúc Diễn,1,021
00670,Phúc Diễn,1,021
00673,Phúc Diễn,1,021
00676,Phúc Diễn,1,021
00679,Phúc Diễn,1,021
00682,Phúc Diễn,1,021
00685,Phúc Diễn,1,021
00595,Cầu Diễn,1,019
00598,Cầu Diễn,1,019
00601,Cầu Diễn,1,019
00602,Cầu Diễn,1,019
00604,Cầu Diễn,1,019
00607,Cầu Diễn,1,019
00610,Cầu Diễn,1,019
00611,Cầu Diễn,1,019
00613,Cầu Diễn,1,019
00616,Cầu Diễn,1,019
00617,Cầu Diễn,1,019
00619,Cầu Diễn,1,019
00620,Cầu Diễn,1,019
08973,Phú Xuân,2,249
08974,Phú Xuân,2,249
08977,Phú Xuân,2,249
08980,Phú Xuân,2,249
08983,Phú Xuân,2,249
08986,Phú Xuân,2,249
08989,Phú Xuân,2,249
08992,Phú Xuân,2,249
08995,Phú Xuân,2,249
08998,Phú Xuân,2,249
09001,Phú Xuân,2,249
09004,Phú Xuân,2,249
09007,Phú Xuân,2,249
09010,Phú Xuân,2,249
09013,Phú Xuân,2,249
09016,Phú Xuân,2,249
09019,Phú Xuân,2,249
09022,Phú Xuân,2,249
09538,Lâm Thao,2,264
09541,Lâm Thao,2,264
09542,Lâm Thao,2,264
09544,Lâm Thao,2,264
09547,Lâm Thao,2,264
09550,Lâm Thao,2,264
09551,Lâm Thao,2,264
09552,Lâm Thao,2,264
09553,Lâm Thao,2,264
09556,Lâm Thao,2,264
09562,Lâm Thao,2,264
09565,Lâm Thao,2,264
09568,Lâm Thao,2,264
09571,Lâm Thao,2,264
09886,Lâm Thao,2,264
10117,Lâm Thao,2,264
10123,Lâm Thao,2,264
09574,Lâm Thao,2,264
09577,Lâm Thao,2,264
09580,Lâm Thao,2,264
09583,Lâm Thao,2,264
09586,Lâm Thao,2,264
09589,Lâm Thao,2,264
09592,Lâm Thao,2,264
09595,Lâm Thao,2,264
09598,Lâm Thao,2,264
09601,Lâm Thao,2,264
09604,Lâm Thao,2,264
09607,Lâm Thao,2,264
09610,Lâm Thao,2,264
09613,Lâm Thao,2,264
09616,Lâm Thao,2,264
09619,Lâm Thao,2,264
09625,Lâm Thao,2,264
09628,Lâm Thao,2,264
09631,Lâm Thao,2,264
09634,Lâm Thao,2,264
09637,Lâm Thao,2,264
09640,Lâm Thao,2,264
09643,Lâm Thao,2,264
09646,Lâm Thao,2,264
09649,Lâm Thao,2,264
09652,Lâm Thao,2,264
09655,Lâm Thao,2,264
09658,Lâm Thao,2,264
09661,Lâm Thao,2,264
09664,Lâm Thao,2,264
09667,Lâm Thao,2,264
09670,Lâm Thao,2,264
09673,Lâm Thao,2,264
09676,Lâm Thao,2,264
09679,Lâm Thao,2,264
09682,Lâm Thao,2,264
09685,Lâm Thao,2,264
09688,Lâm Thao,2,264
09691,Lâm Thao,2,264
09694,Lâm Thao,2,264
09697,Lâm Thao,2,264
09700,Lâm Thao,2,264
09703,Lâm Thao,2,264
09706,Lâm Thao,2,264
09709,Lâm Thao,2,264
09712,Lâm Thao,2,264
09715,Lâm Thao,2,264
09718,Lâm Thao,2,264
09721,Lâm Thao,2,264
09724,Lâm Thao,2,264
09727,Lâm Thao,2,264
09733,Lâm Thao,2,264
09739,Lâm Thao,2,264
09742,Lâm Thao,2,264
09745,Lâm Thao,2,264
09748,Lâm Thao,2,264
09751,Lâm Thao,2,264
09754,Lâm Thao,2,264
09757,Lâm Thao,2,264
09760,Lâm Thao,2,264
09763,Lâm Thao,2,264
09766,Lâm Thao,2,264
09769,Lâm Thao,2,264
09772,Lâm Thao,2,264
09775,Lâm Thao,2,264
09778,Lâm Thao,2,264
09781,Lâm Thao,2,264
09784,Lâm Thao,2,264
09787,Lâm Thao,2,264
09790,Lâm Thao,2,264
09793,Lâm Thao,2,264
09796,Lâm Thao,2,264
09799,Lâm Thao,2,264
09802,Lâm Thao,2,264
09805,Lâm Thao,2,264
09808,Lâm Thao,2,264
09811,Lâm Thao,2,264
09814,Lâm Thao,2,264
09817,Lâm Thao,2,264
09820,Lâm Thao,2,264
09823,Lâm Thao,2,264
09826,Lâm Thao,2,264
09829,Lâm Thao,2,264
09832,Lâm Thao,2,264
09835,Lâm Thao,2,264
09838,Lâm Thao,2,264
09841,Lâm Thao,2,264
09844,Lâm Thao,2,264
09847,Lâm Thao,2,264
09850,Lâm Thao,2,264
09853,Lâm Thao,2,264
09856,Lâm Thao,2,264
09859,Lâm Thao,2,264
09862,Lâm Thao,2,264
09865,Lâm Thao,2,264
09868,Lâm Thao,2,264
09871,Lâm Thao,2,264
09874,Lâm Thao,2,264
09877,Lâm Thao,2,264
09880,Lâm Thao,2,264
09883,Lâm Thao,2,264
09889,Lâm Thao,2,264
09892,Lâm Thao,2,264
04939,Lương Sơn,3,152
09895,Lâm Thao,2,264
09898,Lâm Thao,2,264
09901,Lâm Thao,2,264
09904,Lâm Thao,2,264
09907,Lâm Thao,2,264
09910,Lâm Thao,2,264
09913,Lâm Thao,2,264
09916,Lâm Thao,2,264
09919,Lâm Thao,2,264
09922,Lâm Thao,2,264
09925,Lâm Thao,2,264
09928,Lâm Thao,2,264
09931,Lâm Thao,2,264
09934,Lâm Thao,2,264
09937,Lâm Thao,2,264
09940,Lâm Thao,2,264
09943,Lâm Thao,2,264
09946,Lâm Thao,2,264
09949,Lâm Thao,2,264
09952,Lâm Thao,2,264
04927,Lương Sơn,3,152
04930,Lương Sơn,3,152
04936,Lương Sơn,3,152
09955,Lâm Thao,2,264
09958,Lâm Thao,2,264
09961,Lâm Thao,2,264
09964,Lâm Thao,2,264
09967,Lâm Thao,2,264
09970,Lâm Thao,2,264
09973,Lâm Thao,2,264
09976,Lâm Thao,2,264
09979,Lâm Thao,2,264
09982,Lâm Thao,2,264
09985,Lâm Thao,2,264
09988,Lâm Thao,2,264
09991,Lâm Thao,2,264
09994,Lâm Thao,2,264
09997,Lâm Thao,2,264
10000,Lâm Thao,2,264
10003,Lâm Thao,2,264
10006,Lâm Thao,2,264
10009,Lâm Thao,2,264
10012,Lâm Thao,2,264
10015,Lâm Thao,2,264
10018,Lâm Thao,2,264
10021,Lâm Thao,2,264
10024,Lâm Thao,2,264
10027,Lâm Thao,2,264
10030,Lâm Thao,2,264
10033,Lâm Thao,2,264
10039,Lâm Thao,2,264
10042,Lâm Thao,2,264
10045,Lâm Thao,2,264
10048,Lâm Thao,2,264
10051,Lâm Thao,2,264
10054,Lâm Thao,2,264
10057,Lâm Thao,2,264
10060,Lâm Thao,2,264
10063,Lâm Thao,2,264
10066,Lâm Thao,2,264
10069,Lâm Thao,2,264
10072,Lâm Thao,2,264
10075,Lâm Thao,2,264
10078,Lâm Thao,2,264
10081,Lâm Thao,2,264
10084,Lâm Thao,2,264
10087,Lâm Thao,2,264
10090,Lâm Thao,2,264
10093,Lâm Thao,2,264
10096,Lâm Thao,2,264
10099,Lâm Thao,2,264
10102,Lâm Thao,2,264
10105,Lâm Thao,2,264
10108,Lâm Thao,2,264
10111,Lâm Thao,2,264
10114,Lâm Thao,2,264
10120,Lâm Thao,2,264
10126,Lâm Thao,2,264
10129,Lâm Thao,2,264
10132,Lâm Thao,2,264
10135,Lâm Thao,2,264
10138,Lâm Thao,2,264
10141,Lâm Thao,2,264
10144,Lâm Thao,2,264
10147,Lâm Thao,2,264
10150,Lâm Thao,2,264
10153,Lâm Thao,2,264
10156,Lâm Thao,2,264
10159,Lâm Thao,2,264
10162,Lâm Thao,2,264
10165,Lâm Thao,2,264
10168,Lâm Thao,2,264
10171,Lâm Thao,2,264
10174,Lâm Thao,2,264
10177,Lâm Thao,2,264
10180,Lâm Thao,2,264
10183,Lâm Thao,2,264
10186,Lâm Thao,2,264
10189,Lâm Thao,2,264
10192,Lâm Thao,2,264
10195,Lâm Thao,2,264
10198,Lâm Thao,2,264
10201,Lâm Thao,2,264
10204,Lâm Thao,2,264
10207,Lâm Thao,2,264
10210,Lâm Thao,2,264
10213,Lâm Thao,2,264
10216,Lâm Thao,2,264
10219,Lâm Thao,2,264
10222,Lâm Thao,2,264
10225,Lâm Thao,2,264
10228,Lâm Thao,2,264
10231,Lâm Thao,2,264
10234,Lâm Thao,2,264
10237,Lâm Thao,2,264
10240,Lâm Thao,2,264
10243,Lâm Thao,2,264
10246,Lâm Thao,2,264
10249,Lâm Thao,2,264
10252,Lâm Thao,2,264
10255,Lâm Thao,2,264
10258,Lâm Thao,2,264
10261,Lâm Thao,2,264
10264,Lâm Thao,2,264
10267,Lâm Thao,2,264
10270,Lâm Thao,2,264
10273,Lâm Thao,2,264
10276,Lâm Thao,2,264
10279,Lâm Thao,2,264
10282,Lâm Thao,2,264
10288,Lâm Thao,2,264
10291,Lâm Thao,2,264
10294,Lâm Thao,2,264
10297,Lâm Thao,2,264
10300,Lâm Thao,2,264
10303,Lâm Thao,2,264
10306,Lâm Thao,2,264
10309,Lâm Thao,2,264
10312,Lâm Thao,2,264
10315,Lâm Thao,2,264
10318,Lâm Thao,2,264
10321,Lâm Thao,2,264
10324,Lâm Thao,2,264
10327,Lâm Thao,2,264
10330,Lâm Thao,2,264
10333,Lâm Thao,2,264
10336,Lâm Thao,2,264
10339,Lâm Thao,2,264
10342,Lâm Thao,2,264
10345,Lâm Thao,2,264
10348,Lâm Thao,2,264
10351,Lâm Thao,2,264
10354,Lâm Thao,2,264
10357,Lâm Thao,2,264
10360,Lâm Thao,2,264
10363,Lâm Thao,2,264
10366,Lâm Thao,2,264
10369,Lâm Thao,2,264
10372,Lâm Thao,2,264
10375,Lâm Thao,2,264
10378,Lâm Thao,2,264
10381,Lâm Thao,2,264
10384,Lâm Thao,2,264
10387,Lâm Thao,2,264
10390,Lâm Thao,2,264
10393,Lâm Thao,2,264
10396,Lâm Thao,2,264
10399,Lâm Thao,2,264
10402,Lâm Thao,2,264
10405,Lâm Thao,2,264
10408,Lâm Thao,2,264
10411,Lâm Thao,2,264
10414,Lâm Thao,2,264
10417,Lâm Thao,2,264
10420,Lâm Thao,2,264
10423,Lâm Thao,2,264
10426,Lâm Thao,2,264
10429,Lâm Thao,2,264
10432,Lâm Thao,2,264
10435,Lâm Thao,2,264
10438,Lâm Thao,2,264
10441,Lâm Thao,2,264
10444,Lâm Thao,2,264
10447,Lâm Thao,2,264
10450,Lâm Thao,2,264
10453,Lâm Thao,2,264
10456,Lâm Thao,2,264
10459,Lâm Thao,2,264
10462,Lâm Thao,2,264
10465,Lâm Thao,2,264
10468,Lâm Thao,2,264
10471,Lâm Thao,2,264
10474,Lâm Thao,2,264
10477,Lâm Thao,2,264
10480,Lâm Thao,2,264
10483,Lâm Thao,2,264
10486,Lâm Thao,2,264
10489,Lâm Thao,2,264
10492,Lâm Thao,2,264
10495,Lâm Thao,2,264
10498,Lâm Thao,2,264
10501,Lâm Thao,2,264
10504,Lâm Thao,2,264
00688,Phúc Diễn,1,021
00691,Phúc Diễn,1,021
00692,Phúc Diễn,1,021
00694,Phúc Diễn,1,021
00697,Phúc Diễn,1,021
00700,Phúc Diễn,1,021
00946,Lao Chải,2,030
00949,Lao Chải,2,030
00712,Phúc Diễn,1,021
00715,Phúc Diễn,1,021
00718,Phúc Diễn,1,021
00721,Phúc Diễn,1,021
00724,Phúc Diễn,1,021
00727,Phúc Diễn,1,021
00730,Phúc Diễn,1,021
00733,Phúc Diễn,1,021
00736,Phúc Diễn,1,021
00739,Phúc Diễn,1,021
00742,Phúc Diễn,1,021
00745,Phúc Diễn,1,021
00748,Phúc Diễn,1,021
00751,Phúc Diễn,1,021
00754,Phúc Diễn,1,021
00757,Phúc Diễn,1,021
00760,Phúc Diễn,1,021
00763,Phúc Diễn,1,021
00766,Phúc Diễn,1,021
00769,Phúc Diễn,1,021
00772,Phúc Diễn,1,021
00775,Phúc Diễn,1,021
00778,Phúc Diễn,1,021
00781,Phúc Diễn,1,021
00784,Phúc Diễn,1,021
00787,Phúc Diễn,1,021
00790,Phúc Diễn,1,021
00793,Phúc Diễn,1,021
00796,Phúc Diễn,1,021
00799,Phúc Diễn,1,021
00802,Phúc Diễn,1,021
00805,Phúc Diễn,1,021
00808,Phúc Diễn,1,021
00811,Phúc Diễn,1,021
00814,Phúc Diễn,1,021
00815,Phúc Diễn,1,021
00817,Phúc Diễn,1,021
00820,Phúc Diễn,1,021
00823,Phúc Diễn,1,021
00826,Phúc Diễn,1,021
00829,Phúc Diễn,1,021
00832,Phúc Diễn,1,021
00835,Phúc Diễn,1,021
00838,Phúc Diễn,1,021
00841,Phúc Diễn,1,021
00844,Phúc Diễn,1,021
00847,Phúc Diễn,1,021
00850,Phúc Diễn,1,021
00853,Phúc Diễn,1,021
00856,Phúc Diễn,1,021
00859,Phúc Diễn,1,021
00862,Phúc Diễn,1,021
00865,Phúc Diễn,1,021
00868,Phúc Diễn,1,021
00871,Phúc Diễn,1,021
00874,Phúc Diễn,1,021
00877,Phúc Diễn,1,021
00880,Phúc Diễn,1,021
00883,Phúc Diễn,1,021
00886,Phúc Diễn,1,021
00889,Phúc Diễn,1,021
00892,Phúc Diễn,1,021
00895,Phúc Diễn,1,021
00898,Phúc Diễn,1,021
00901,Phúc Diễn,1,021
00904,Phúc Diễn,1,021
00907,Phúc Diễn,1,021
00910,Phúc Diễn,1,021
00703,Phúc Diễn,1,021
00706,Phúc Diễn,1,021
00709,Phúc Diễn,1,021
00913,Phúc Diễn,1,021
00916,Phúc Diễn,1,021
00919,Phúc Diễn,1,021
00922,Thuận Hoà,2,030
00925,Tùng Bá,2,030
00928,Thanh Thủy,2,030
00931,Thanh Đức,2,030
00934,Phong Quang,2,030
00937,Xín Chải,2,030
00940,Phương Tiến,2,030
00943,Lao Chải,2,030
00952,Cao Bồ,2,030
00955,Đạo Đức,2,030
00958,Thượng Sơn,2,030
00961,Linh Hồ,2,030
00964,Quảng Ngần,2,030
00967,Việt Lâm,2,030
00970,Ngọc Linh,2,030
00973,Ngọc Minh,2,030
00976,Bạch Ngọc,2,030
00979,Trung Thành,2,030
00982,Minh Sơn,2,031
00985,Giáp Trung,2,031
00988,Yên Định,2,031
00991,Yên Phú,3,031
00994,Minh Ngọc,2,031
00997,Yên Phong,2,031
01000,Lạc Nông,2,031
01003,Phú Nam,2,031
01006,Yên Cường,2,031
01009,Thượng Tân,2,031
01012,Đường Âm,2,031
01015,Đường Hồng,2,031
01018,Phiêng Luông,2,031
01021,Vinh Quang,3,032
01024,Bản Máy,2,032
01027,Thàng Tín,2,032
01030,Thèn Chu Phìn,2,032
01033,Pố Lồ,2,032
01036,Bản Phùng,2,032
01039,Túng Sán,2,032
01042,Chiến Phố,2,032
01045,Đản Ván,2,032
01048,Tụ Nhân,2,032
01051,Tân Tiến,2,032
01054,Nàng Đôn,2,032
01057,Pờ Ly Ngài,2,032
01060,Sán Xả Hồ,2,032
01063,Bản Luốc,2,032
01066,Ngàm Đăng Vài,2,032
01069,Bản Nhùng,2,032
01072,Tả Sử Choóng,2,032
01075,Nậm Dịch,2,032
01081,Hồ Thầu,2,032
01084,Nam Sơn,2,032
01087,Nậm Tỵ,2,032
01090,Thông Nguyên,2,032
01093,Nậm Khòa,2,032
01096,Cốc Pài,3,033
01099,Nàn Xỉn,2,033
01102,Bản Díu,2,033
01105,Chí Cà,2,033
01108,Xín Mần,2,033
01114,Thèn Phàng,2,033
01117,Trung Thịnh,2,033
01120,Pà Vầy Sủ,2,033
01123,Cốc Rế,2,033
01126,Thu Tà,2,033
01129,Nàn Ma,2,033
01132,Tả Nhìu,2,033
01135,Bản Ngò,2,033
01138,Chế Là,2,033
01141,Nấm Dẩn,2,033
01144,Quảng Nguyên,2,033
01147,Nà Chì,2,033
01150,Khuôn Lùng,2,033
01153,Việt Quang,3,034
01156,Vĩnh Tuy,3,034
01159,Tân Lập,2,034
01162,Tân Thành,2,034
01165,Đồng Tiến,2,034
01168,Đồng Tâm,2,034
01171,Tân Quang,2,034
01174,Thượng Bình,2,034
01177,Hữu Sản,2,034
01180,Kim Ngọc,2,034
01183,Việt Vinh,2,034
01186,Bằng Hành,2,034
01189,Quang Minh,2,034
01192,Liên Hiệp,2,034
01195,Vô Điếm,2,034
01198,Việt Hồng,2,034
01201,Hùng An,2,034
01204,Đức Xuân,2,034
01207,Tiên Kiều,2,034
01210,Vĩnh Hảo,2,034
01213,Vĩnh Phúc,2,034
01216,Đồng Yên,2,034
01219,Đông Thành,2,034
01222,Xuân Minh,2,035
01225,Tiên Nguyên,2,035
01228,Tân Nam,2,035
01231,Bản Rịa,2,035
01234,Yên Thành,2,035
01237,Yên Bình,3,035
01240,Tân Trịnh,2,035
01243,Tân Bắc,2,035
01246,Bằng Lang,2,035
01249,Yên Hà,2,035
01252,Hương Sơn,2,035
01255,Xuân Giang,2,035
01258,Nà Khương,2,035
01261,Tiên Yên,2,035
01264,Vĩ Thượng,2,035
01267,Sông Hiến,1,040
01270,Sông Bằng,1,040
01273,Hợp Giang,1,040
01276,Tân Giang,1,040
01279,Ngọc Xuân,1,040
01282,Đề Thám,1,040
01285,Hoà Chung,1,040
01288,Duyệt Trung,1,040
01693,Hồng Việt,2,051
01705,Quang Trung,2,051
01720,Lê Chung,2,051
01290,Duyệt Trung,1,040
01291,Duyệt Trung,1,040
01294,Lý Bôn,2,042
